"network","p","m","n","epoch","df_correction_method","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,1000,1,"old",0.1,0.98876404494382,0.814814814814815,1,2
"ecoli",46,100,1000,1,"br",0.1,0.98876404494382,0.814814814814815,1,2
"ecoli",46,100,1000,1,"reiter",0.1,0.98876404494382,0.814814814814815,1,2
"ecoli",46,100,1000,2,"old",0.1,1,0.663793103448276,0,1
"ecoli",46,100,1000,2,"br",0.1,1,0.663793103448276,0,1
"ecoli",46,100,1000,2,"reiter",0.1,1,0.663793103448276,0,1
"ecoli",46,100,1000,3,"old",0.1,0.987012987012987,0.666666666666667,1,1
"ecoli",46,100,1000,3,"br",0.1,0.987012987012987,0.666666666666667,1,1
"ecoli",46,100,1000,3,"reiter",0.1,0.987012987012987,0.666666666666667,1,1
"ecoli",46,100,1000,4,"old",0.1,1,0.857142857142857,0,0
"ecoli",46,100,1000,4,"br",0.1,1,0.857142857142857,0,0
"ecoli",46,100,1000,4,"reiter",0.1,1,0.857142857142857,0,0
"ecoli",46,100,1000,5,"old",0.1,1,0.772727272727273,0,5
"ecoli",46,100,1000,5,"br",0.1,1,0.772727272727273,0,3
"ecoli",46,100,1000,5,"reiter",0.1,1,0.772727272727273,0,5
"ecoli",46,100,1000,6,"old",0.1,1,0.754385964912281,0,1
"ecoli",46,100,1000,6,"br",0.1,1,0.754385964912281,0,1
"ecoli",46,100,1000,6,"reiter",0.1,1,0.754385964912281,0,1
"ecoli",46,100,1000,7,"old",0.1,1,0.801724137931034,1,21
"ecoli",46,100,1000,7,"br",0.1,1,0.801724137931034,1,21
"ecoli",46,100,1000,7,"reiter",0.1,1,0.801724137931034,1,21
"ecoli",46,100,1000,8,"old",0.1,1,0.845454545454545,0,1
"ecoli",46,100,1000,8,"br",0.1,1,0.845454545454545,0,1
"ecoli",46,100,1000,8,"reiter",0.1,1,0.845454545454545,0,1
"ecoli",46,100,1000,9,"old",0.1,1,0.71551724137931,0,0
"ecoli",46,100,1000,9,"br",0.1,1,0.71551724137931,0,1
"ecoli",46,100,1000,9,"reiter",0.1,1,0.71551724137931,0,0
"ecoli",46,100,1000,10,"old",0.1,1,0.854545454545454,0,5
"ecoli",46,100,1000,10,"br",0.1,1,0.854545454545454,0,5
"ecoli",46,100,1000,10,"reiter",0.1,1,0.854545454545454,0,5
"ecoli",46,100,1000,1,"old",0.5,1,0.821428571428571,0,0
"ecoli",46,100,1000,1,"br",0.5,1,0.821428571428571,0,0
"ecoli",46,100,1000,1,"reiter",0.5,1,0.821428571428571,0,2
"ecoli",46,100,1000,2,"old",0.5,1,0.696428571428571,0,1
"ecoli",46,100,1000,2,"br",0.5,1,0.696428571428571,0,1
"ecoli",46,100,1000,2,"reiter",0.5,1,0.696428571428571,0,1
"ecoli",46,100,1000,3,"old",0.5,0.96875,0.801724137931034,4,6
"ecoli",46,100,1000,3,"br",0.5,0.96875,0.801724137931034,4,4
"ecoli",46,100,1000,3,"reiter",0.5,0.96875,0.801724137931034,4,4
"ecoli",46,100,1000,4,"old",0.5,1,0.652542372881356,0,0
"ecoli",46,100,1000,4,"br",0.5,1,0.652542372881356,0,0
"ecoli",46,100,1000,4,"reiter",0.5,1,0.652542372881356,0,0
"ecoli",46,100,1000,5,"old",0.5,1,0.8125,0,1
"ecoli",46,100,1000,5,"br",0.5,1,0.8125,0,1
"ecoli",46,100,1000,5,"reiter",0.5,1,0.8125,0,1
"ecoli",46,100,1000,6,"old",0.5,0.962025316455696,0.666666666666667,4,16
"ecoli",46,100,1000,6,"br",0.5,0.962025316455696,0.666666666666667,4,16
"ecoli",46,100,1000,6,"reiter",0.5,0.962025316455696,0.666666666666667,4,16
"ecoli",46,100,1000,7,"old",0.5,1,0.723214285714286,0,2
"ecoli",46,100,1000,7,"br",0.5,1,0.723214285714286,0,2
"ecoli",46,100,1000,7,"reiter",0.5,1,0.723214285714286,0,2
"ecoli",46,100,1000,8,"old",0.5,1,0.796296296296296,0,0
"ecoli",46,100,1000,8,"br",0.5,1,0.796296296296296,0,0
"ecoli",46,100,1000,8,"reiter",0.5,1,0.796296296296296,0,0
"ecoli",46,100,1000,9,"old",0.5,0.989247311827957,0.836363636363636,2,6
"ecoli",46,100,1000,9,"br",0.5,0.989247311827957,0.836363636363636,2,6
"ecoli",46,100,1000,9,"reiter",0.5,0.989247311827957,0.836363636363636,2,6
"ecoli",46,100,1000,10,"old",0.5,1,0.5625,1,3
"ecoli",46,100,1000,10,"br",0.5,1,0.5625,1,10
"ecoli",46,100,1000,10,"reiter",0.5,1,0.5625,1,10
"ecoli",46,100,1000,1,"old",0.9,0.974025974025974,0.646551724137931,2,10
"ecoli",46,100,1000,1,"br",0.9,0.974025974025974,0.646551724137931,2,10
"ecoli",46,100,1000,1,"reiter",0.9,0.974025974025974,0.646551724137931,2,10
"ecoli",46,100,1000,2,"old",0.9,0.987951807228916,0.719298245614035,1,13
"ecoli",46,100,1000,2,"br",0.9,0.987951807228916,0.719298245614035,1,13
"ecoli",46,100,1000,2,"reiter",0.9,0.987951807228916,0.719298245614035,1,13
"ecoli",46,100,1000,3,"old",0.9,0.978494623655914,0.8125,1,1
"ecoli",46,100,1000,3,"br",0.9,0.978494623655914,0.8125,1,1
"ecoli",46,100,1000,3,"reiter",0.9,0.978494623655914,0.8125,1,1
"ecoli",46,100,1000,4,"old",0.9,1,0.763157894736842,1,6
"ecoli",46,100,1000,4,"br",0.9,1,0.763157894736842,1,6
"ecoli",46,100,1000,4,"reiter",0.9,1,0.763157894736842,1,16
"ecoli",46,100,1000,5,"old",0.9,0.974683544303797,0.663793103448276,1,3
"ecoli",46,100,1000,5,"br",0.9,0.974683544303797,0.663793103448276,1,12
"ecoli",46,100,1000,5,"reiter",0.9,0.974683544303797,0.663793103448276,1,12
"ecoli",46,100,1000,6,"old",0.9,0.976744186046512,0.724137931034483,2,3
"ecoli",46,100,1000,6,"br",0.9,0.976744186046512,0.724137931034483,2,3
"ecoli",46,100,1000,6,"reiter",0.9,0.976744186046512,0.724137931034483,2,3
"ecoli",46,100,1000,7,"old",0.9,0.977011494252874,0.732758620689655,2,2
"ecoli",46,100,1000,7,"br",0.9,0.977011494252874,0.732758620689655,2,2
"ecoli",46,100,1000,7,"reiter",0.9,0.977011494252874,0.732758620689655,2,2
"ecoli",46,100,1000,8,"old",0.9,0.986666666666667,0.660714285714286,1,1
"ecoli",46,100,1000,8,"br",0.9,0.986666666666667,0.660714285714286,1,1
"ecoli",46,100,1000,8,"reiter",0.9,0.986666666666667,0.660714285714286,1,1
"ecoli",46,100,1000,9,"old",0.9,0.98876404494382,0.771929824561403,1,10
"ecoli",46,100,1000,9,"br",0.9,0.98876404494382,0.771929824561403,1,10
"ecoli",46,100,1000,9,"reiter",0.9,0.98876404494382,0.771929824561403,1,10
"ecoli",46,100,1000,10,"old",0.9,1,0.836363636363636,1,3
"ecoli",46,100,1000,10,"br",0.9,1,0.836363636363636,1,3
"ecoli",46,100,1000,10,"reiter",0.9,1,0.836363636363636,1,3
"ecoli",46,100,25,1,"old",0.1,1,0.733333333333333,0,0
"ecoli",46,100,25,1,"br",0.1,1,0.733333333333333,0,0
"ecoli",46,100,25,1,"reiter",0.1,1,0.733333333333333,0,0
"ecoli",46,100,25,2,"old",0.1,0.948717948717949,0.74,1,1
"ecoli",46,100,25,2,"br",0.1,0.948717948717949,0.74,1,1
"ecoli",46,100,25,2,"reiter",0.1,0.948717948717949,0.74,1,1
"ecoli",46,100,25,3,"old",0.1,0.904761904761905,0.703703703703704,7,8
"ecoli",46,100,25,3,"br",0.1,0.904761904761905,0.678571428571429,8,9
"ecoli",46,100,25,3,"reiter",0.1,0.904761904761905,0.678571428571429,8,9
"ecoli",46,100,25,4,"old",0.1,0.977777777777778,0.846153846153846,1,1
"ecoli",46,100,25,4,"br",0.1,0.911111111111111,0.82,4,5
"ecoli",46,100,25,4,"reiter",0.1,0.933333333333333,0.84,2,2
"ecoli",46,100,25,5,"old",0.1,0.761904761904762,0.695652173913043,9,10
"ecoli",46,100,25,5,"br",0.1,0.761904761904762,0.64,11,11
"ecoli",46,100,25,5,"reiter",0.1,0.761904761904762,0.666666666666667,10,10
"ecoli",46,100,25,6,"old",0.1,0.945945945945946,0.795454545454545,1,1
"ecoli",46,100,25,6,"br",0.1,0.945945945945946,0.795454545454545,1,1
"ecoli",46,100,25,6,"reiter",0.1,0.945945945945946,0.795454545454545,1,1
"ecoli",46,100,25,7,"old",0.1,1,0.696428571428571,0,0
"ecoli",46,100,25,7,"br",0.1,1,0.696428571428571,0,0
"ecoli",46,100,25,7,"reiter",0.1,1,0.696428571428571,0,0
"ecoli",46,100,25,8,"old",0.1,1,0.8,0,0
"ecoli",46,100,25,8,"br",0.1,1,0.8,0,0
"ecoli",46,100,25,8,"reiter",0.1,1,0.8,0,0
"ecoli",46,100,25,9,"old",0.1,0.714285714285714,0.681818181818182,11,12
"ecoli",46,100,25,9,"br",0.1,0.714285714285714,0.681818181818182,11,14
"ecoli",46,100,25,9,"reiter",0.1,0.69047619047619,0.659090909090909,13,14
"ecoli",46,100,25,10,"old",0.1,0.91304347826087,0.84,2,2
"ecoli",46,100,25,10,"br",0.1,0.91304347826087,0.84,2,2
"ecoli",46,100,25,10,"reiter",0.1,0.91304347826087,0.84,2,2
"ecoli",46,100,25,1,"old",0.5,0.574468085106383,0.75,12,16
"ecoli",46,100,25,1,"br",0.5,0.319148936170213,0.576923076923077,19,24
"ecoli",46,100,25,1,"reiter",0.5,0.319148936170213,0.576923076923077,19,23
"ecoli",46,100,25,2,"old",0.5,0.711111111111111,0.761904761904762,8,9
"ecoli",46,100,25,2,"br",0.5,0.711111111111111,0.761904761904762,8,9
"ecoli",46,100,25,2,"reiter",0.5,0.711111111111111,0.8,7,8
"ecoli",46,100,25,3,"old",0.5,0.375,0.692307692307692,22,27
"ecoli",46,100,25,3,"br",0.5,0.333333333333333,0.533333333333333,26,31
"ecoli",46,100,25,3,"reiter",0.5,0.333333333333333,0.533333333333333,26,31
"ecoli",46,100,25,4,"old",0.5,0.627906976744186,0.75,9,11
"ecoli",46,100,25,4,"br",0.5,0.604651162790698,0.619047619047619,14,17
"ecoli",46,100,25,4,"reiter",0.5,0.604651162790698,0.684210526315789,12,15
"ecoli",46,100,25,5,"old",0.5,0.461538461538462,0.6,17,27
"ecoli",46,100,25,5,"br",0.5,0.384615384615385,0.416666666666667,24,32
"ecoli",46,100,25,5,"reiter",0.5,0.461538461538462,0.5,20,28
"ecoli",46,100,25,6,"old",0.5,0.692307692307692,0.675,10,14
"ecoli",46,100,25,6,"br",0.5,0.641025641025641,0.625,12,18
"ecoli",46,100,25,6,"reiter",0.5,0.641025641025641,0.657894736842105,11,15
"ecoli",46,100,25,7,"old",0.5,0.651162790697674,0.777777777777778,14,17
"ecoli",46,100,25,7,"br",0.5,0.651162790697674,0.777777777777778,14,17
"ecoli",46,100,25,7,"reiter",0.5,0.651162790697674,0.777777777777778,14,17
"ecoli",46,100,25,8,"old",0.5,0.595238095238095,0.657894736842105,13,16
"ecoli",46,100,25,8,"br",0.5,0.571428571428571,0.6,16,21
"ecoli",46,100,25,8,"reiter",0.5,0.595238095238095,0.595238095238095,15,21
"ecoli",46,100,25,9,"old",0.5,0.645833333333333,0.738095238095238,10,12
"ecoli",46,100,25,9,"br",0.5,0.645833333333333,0.738095238095238,10,13
"ecoli",46,100,25,9,"reiter",0.5,0.645833333333333,0.738095238095238,10,13
"ecoli",46,100,25,10,"old",0.5,0.631578947368421,0.666666666666667,9,11
"ecoli",46,100,25,10,"br",0.5,0.631578947368421,0.666666666666667,9,11
"ecoli",46,100,25,10,"reiter",0.5,0.631578947368421,0.666666666666667,9,11
"ecoli",46,100,25,1,"old",0.9,0.351351351351351,0.590909090909091,18,19
"ecoli",46,100,25,1,"br",0.9,0.297297297297297,0.5,20,22
"ecoli",46,100,25,1,"reiter",0.9,0.297297297297297,0.5,20,22
"ecoli",46,100,25,2,"old",0.9,0.439024390243902,0.642857142857143,17,17
"ecoli",46,100,25,2,"br",0.9,0.341463414634146,0.5,21,21
"ecoli",46,100,25,2,"reiter",0.9,0.341463414634146,0.5,21,21
"ecoli",46,100,25,3,"old",0.9,0.44,0.733333333333333,18,20
"ecoli",46,100,25,3,"br",0.9,0.42,0.7,20,22
"ecoli",46,100,25,3,"reiter",0.9,0.44,0.6875,19,21
"ecoli",46,100,25,4,"old",0.9,0.533333333333333,0.857142857142857,14,16
"ecoli",46,100,25,4,"br",0.9,0.488888888888889,0.916666666666667,16,16
"ecoli",46,100,25,4,"reiter",0.9,0.488888888888889,0.916666666666667,16,16
"ecoli",46,100,25,5,"old",0.9,0.317073170731707,0.65,19,21
"ecoli",46,100,25,5,"br",0.9,0.317073170731707,0.541666666666667,21,23
"ecoli",46,100,25,5,"reiter",0.9,0.317073170731707,0.65,19,21
"ecoli",46,100,25,6,"old",0.9,0.340909090909091,0.625,21,23
"ecoli",46,100,25,6,"br",0.9,0.272727272727273,0.545454545454545,24,25
"ecoli",46,100,25,6,"reiter",0.9,0.272727272727273,0.545454545454545,24,25
"ecoli",46,100,25,7,"old",0.9,0.285714285714286,0.5,20,21
"ecoli",46,100,25,7,"br",0.9,0.261904761904762,0.392857142857143,24,24
"ecoli",46,100,25,7,"reiter",0.9,0.261904761904762,0.423076923076923,23,23
"ecoli",46,100,25,8,"old",0.9,0.575,0.676470588235294,15,18
"ecoli",46,100,25,8,"br",0.9,0.575,0.638888888888889,16,19
"ecoli",46,100,25,8,"reiter",0.9,0.575,0.638888888888889,16,19
"ecoli",46,100,25,9,"old",0.9,0.319148936170213,0.576923076923077,21,23
"ecoli",46,100,25,9,"br",0.9,0.319148936170213,0.576923076923077,21,23
"ecoli",46,100,25,9,"reiter",0.9,0.319148936170213,0.625,20,22
"ecoli",46,100,25,10,"old",0.9,0.56,0.777777777777778,16,22
"ecoli",46,100,25,10,"br",0.9,0.48,0.705882352941177,19,23
"ecoli",46,100,25,10,"reiter",0.9,0.48,0.705882352941177,19,23
